web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
1616373478-3158,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Espectacular Departamento Penthouse en Juriquilla,"MN 26,000",3 rec.,"2
					
						baños",149 m²
1616373358-2933,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Departamentos en Renta en Juriquilla,"MN 14,000",3 rec.,"2
					
						baños",97 m²
1616373382-2986,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,Departamento - Juriquilla,"MN 22,000","2
					
						baños","2
					
						estac.",2 rec.
1616373226-2693,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Departamento en Renta Hermoso y a Estrenar con 2 Rec 2 Bañ en El El Mirador Jf,"MN 14,000",2 rec.,"2
					
						baños",122 m²
1616373490-3161,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Departamento en Renta en Juriquilla,"MN 15,000",1 rec.,"1
					
						baño",70 m²
1616373358-2932,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Moderno Departamento Amueblado en Atelier Juriquilla. Oc,"MN 17,000",2 rec.,"2
					
						baños",69 m²
1616373310-2835,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,"Juriquilla, Departamento Amueblado en Renta","MN 19,000",3 rec.,"2
					
						baños",113 m²
1616373261-2736,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-19.html,"Lago Ostion, Departamento en Renta","MN 17,500",3 rec.,"2
					
						baños",106 m²
1616373347-2917,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,Departamento en Wise Living Juriquilla Queretaro,"MN 22,000",2 rec.,"2
					
						baños",1 m²
1616373296-2807,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,Cepartamento en Renta Queretaro Joy Juriquilla,"MN 28,000",3 rec.,"3
					
						baños",163 m²
1616373478-3155,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,"Departamento Renta, Juriquilla, Lujo!, Querétaro","MN 18,000",3 rec.,"2
					
						baños",148 m²
1616373395-3008,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento - Juriquilla,"MN 15,400",2 rec.,"2
					
						baños",97 m²
1616373452-3091,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,"Se Renta Hermoso Departamento en Juriquilla Towers, Piso 7, 2 Recámaras, Lujo!","MN 23,000",2 rec.,"2
					
						baños",112 m²
1616373465-3131,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,Departamento en Renta Vive Bio Reserva Ecológica Querétaro R,"MN 12,800",3 rec.,"2
					
						baños",136 m²
1616373382-2972,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-9.html,Amueblado en Wise Living,"MN 27,000",2 rec.,"2
					
						baños",170 m²
1616373500-3183,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departamento Amueblado en Renta de 2 Hab en El Refugio,"MN 15,500",2 rec.,"2
					
						baños",95 m²
1616373452-3109,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Penthouse en Renta en Juriquila,"MN 25,500",3 rec.,"2
					
						baños",232 m²
1616373409-3016,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,"Departamento en Renta en Privada Naranjos III, Juriquilla, D278","MN 12,500",3 rec.,"2
					
						baños",160 m²
