web-scraper-order,web-scraper-start-url,descrip,precio
1616375140-3003,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,HERMOSA CASA DE LUJO EN RENTA AMUEBLADA EN SANTA FE JURIQUILLA,"$25,000"
1616375311-3234,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,CASA RENTA EN REFUGIO CONDOMINIO VIDALTA QUERETARO,"$11,500"
1616375098-2955,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,OPORTUNIDAD CONDOMINIO EN JURIQUILLA CON AMENIDADES MUY FAMILIAR.,"$15,000"
1616375098-2937,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,Renta de Casa con 5 recamaras y amplios espacios ubicada en Privada Juriquilla,"$60,000"
1616375077-2925,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA AMUEBLADA EN MILENIO III EN ESQUINA,"$15,000"
1616375056-2876,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en renta Milenio 3 habitaciones JRH,"$15,000"
1616375056-2879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa con Roof Garden de 350 mts2 y 3 dormitorios! JPC 19-1344,"$23,000"
1616375203-3086,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa en condominio en Renta, en Juriquilla, Querétaro","$12,500"
1616375269-3178,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616375161-3043,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Renta de casa Queretaro San Isidro Juriquilla dentro de condominio privado,"$10,500"
1616375203-3084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Rento casa en Cumbres de lago Juriquilla,"$14,000"
1616375269-3188,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1616375014-2829,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Casa de 3 Recámaras en Renta Dentro de Privada en El Mirador SRM 21-2969,"$11,500"
1616375248-3161,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en Fracc. El Refigio Qro.  CMC #20-1606,"$13,000"
1616375140-2989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa - Juriquilla,"$18,000"
