web-scraper-order,web-scraper-start-url,titulo,precio
1618362557-1004,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362430-806,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,JURICA CASA EN VENTA RECIEN REMODELADA  UNA PLANTA,"$9,000,000"
1618362573-1030,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,CASA en VENTA en JURICA en privada con Membresía al CLUB,"$17,500,000"
1618362618-1117,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,Jurica casa en venta con 5 Recamaras mas cuarto de sevicio,"$16,500,000"
1618362461-839,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618362430-778,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,VENTA CASAS -  JURICA REGENCY - QUERETARO,"$21,000,000"
1618362540-960,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,"Casa en Jurica de 5 dormitorios, alberca propia y 610 mts2! RAHQRO","$11,350,000"
1618362573-1026,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,Casa Habitacional Zona Jurica Residencial,"$3,900,000"
1618362540-981,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,¡¡EXCELENTE OPORTUNIDAD CASA DE ENTREGA INMEDIATA!!,"$6,738,000"
1618362520-942,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,"¿Lujoso, Seguro, Amplio Jardín Y 5 Dormitorios? La Perfecta Opción!","$16,500,000"
1618362589-1069,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"Casa en venta, en Jurica, Querétaro. De un piso con jardín arbolado.","$9,000,000"
1618362430-791,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,En venta lujosa casa en jurica con alberca privada 5 recamaras 7 baños jpc,"$11,360,001"
1618362603-1087,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en venta Jurica 3 habitaciones JGCC,"$3,320,000"
1618362520-934,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en venta Jurica 3 habitaciones JGCC,"$13,500,000"
1618362478-887,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en Venta dentro del Club Regency Jurica Queretaro,"$16,000,000"
1618362573-1018,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,Casa en Venta en Fracc Jurica,"$7,900,000"
1618362498-898,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 3 habitaciones JGCC,"$6,200,000"
1618362446-827,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11,"KL / EXCLUSIVA RESIDENCIA EN VENTA, JURICA. QRO.","$13,000,000"
1618362557-1003,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa en calle cerrada en Jurica de 610 mts2 y 5 dormitorios! RCS,"$11,350,000"
1618362520-953,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en venta Jurica 5 habitaciones JRH,"$16,500,000"
1618362557-1002,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Excelente Casa De Un Piso,"$9,000,000"
1618362478-874,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362430-779,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,VENTA CASA  JURICA QUERETARO/ TI-E,"$6,500,000"
1618362478-879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en Venta Jurica 3 Habitaciones Jrh,"$13,500,000"
1618362618-1116,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,VENTA DE CASA EN JURICA,"$21,000,000"
1618362412-763,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362603-1077,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en Jurica con espacios muy funcionales y buen estado de conservación! JGJ,"$3,320,000"
1618362446-815,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11,"Venta de casa una planta en Jurica, Qro. con Alberca, terraza y paneles solares","$19,980,000"
1618362520-947,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Venta Casa en Jurica Qro una planta excelente estado con 8 estacionamientos,"$15,000,000"
1618362412-767,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362603-1101,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,"Venta de casa en Exclusivo Condominio residencial en Jurica , 6 habitaciones Qro","$19,000,000"
1618362430-783,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,Casa en Venta Jurica Campestre Queretaro,"$4,776,510"
1618362589-1066,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"CASA EN VENTA EN JURICA, QUERETARO.","$12,000,000"
1618362557-1013,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa con espacios funcionales en Jurica de 3 dormitorios! ATC,"$3,320,000"
1618362618-1123,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,Casa estilo mexicano contemporáneo en una de las zonas más tradicionales y exclusivas...,"$10,990,000"
1618362412-776,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,"Venta de casa una planta en Jurica, Qro. con Alberca, terraza y paneles solares","$19,980,000"
1618362446-822,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11,"Casa en venta en Querétaro. Jurica. Regency Club $21,500,000 ID: 1228","$21,500,000"
1618362412-754,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en venta Jurica 3 habitaciones JGCC,"$11,350,000"
1618362618-1134,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,Hermosa Residencia en Venta con acabados de lujo en Fraccionamiento Jurica,"$13,000,000"
1618362573-1028,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,Hermosas Casas en Preventa en Jurica,"$16,900,000"
1618362603-1080,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa Campestre en Venta Jurica,"$4,350,000"
1618362573-1044,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,¡¡EXCELENTE OPORTUNIDAD CASA DE ENTREGA INMEDIATA!!,"$6,738,000"
