web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620502979-8375,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=4,Venta de Terreno con Uso de Suelo Mixto en El Refugio SRM 21-25,"$8,123,280",4000 m²
1620503079-8791,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,"Juriquilla Campestre.  Precioso!  435m2 y mucho frente $1'350,00","$1,350,000",435 m²
1620503030-8572,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=1,Se Vende Terreno en Lago de Juriquilla de 253 m2,"$2,017,000",253 m²
1620502932-8196,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=1,Milenio 3era Sección - Terreno con Sótano en Venta,"$2,283,645",351 m²
1620502993-8420,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=2,Venta de Terreno en residencial el refugio,"$1,944,000",282 m²
1620502949-8230,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=3,VENTA DE TERRENOS HABITACIONALES EN NUEVO DESARROLLO DESDE 160 m2 – 220 m2,"$5,500",160 m²
1620503065-8742,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=1,¡¡ EXCELENTE TERRENO DE 1 HECTAREA EN VENTA UBICADO EN JURICA !!,"$8,500",10000 m²
1620503000-8446,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,"Se Vende Terreno en EL REFUGIO, de 170 m2, Calle Abierta, Ubicadísimo !!!","$1,320,000",170 m²
1620503000-8471,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,El Refugio terreno zona de gran afluencia vehicular! RAHH 21-437,"$6,895,500",1149 m²
1620503016-8508,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=3,"VENTA DE TERRENO EN JURIQUILLA, CUMBRES DEL LAGODE 748m2","$5,000",748 m²
1620502993-8436,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=2,"1500M2 DE TERRENO EN ESQUIN, 2 FRENTES, FRAY JUNIPERO S., QRO.  CMC #20-2357","$8,700,000",1500 m²
1620502877-7965,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=5,Terreno en Venta en el Campanario 202039 JL,"$6,900,000",653 m²
1620502993-8429,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=2,Venta terreno en La Espiga con gran plusvalía,"$2,516,000",370 m²
1620503043-8644,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,TERRENO RESIDENCIAL EN EL MIRADOR QRO.   CMC #20-1645,"$710,899",165 m²
1620502986-8385,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,"TERRENO EN VENTA EN FRACCIONAMIENTO EL REFUGIO, QUERETARO","$1,700,000",265 m²
1620503008-8473,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=4,"Terreno habitacional en Venta, en Cumbres del Lago, Querétaro","$1,580,000",270 m²
1620503000-8442,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,Terreno 182.2 m2 Residencial El Refugio Querétaro.,"$1,262,000",182 m²
1620503052-8661,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=3,VENTA TERRENOS QUERETARO EL SALITRE FRENTE ANTEA  AA,"$882,900",162 m²
1620503065-8734,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=1,"Terrenos en venta en zona exclusiva con inmejorables vistas,ultimos lotes jpc","$751,296",134 m²
1620503043-8636,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,El Mirador - Lotes de terreno en VENTA. Condominio con excelente ubicación,"$774,000",180 m²
1620502885-7985,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=4,Terreno en Venta El Campanario Querétaro,"$6,330,400",633 m²
1620503043-8646,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,PREVENTA DE TERRENOS ZONA MILENIO-MIRADOR,"$952,247",244 m²
1620503023-8554,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=2,"VENTA DE TERRENO EN JURIQUILLA, CUMBRES DEL LAGO DE 275m2","$4,400",275 m²
1620503023-8556,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=2,VENTA TERRENOS - CUMBRES DEL LAGO - JURIQUILLA - QUERETARO,"$2,167,000",394 m²
1620503079-8801,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,"TERRENO EN EL NABO, LA LAGARTIJA JURICA QUERÉTARO, EXCELENTE UBICACIÓN","$970,000",1250 m²
1620502924-8157,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,"Terreno habitacional en Venta, en Milenio 3a. Sección, Querétaro","$4,800",298 m²
1620503023-8553,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=2,"HERMOSO TERRENO  EN CUMBRES DEL LAGO JURIQUILLA, QRO. SUPERFICIE 279.95 MTS.","$4,400",279 m²
