web-scraper-order,web-scraper-start-url,titulo,precio
1618363511-3285,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=50,Casa en Venta en Juriquilla,"$4,350,000"
1618363771-4297,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=16,VENTA DE RESIDENCIA EN CAÑADA DE JURIQUILLA,"$21,500,000"
1618363779-4324,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=15,"Altos de Juriquilla, Casas para la Venta. Entrega Agosto 2019 FVR","$3,550,000"
1618363547-3435,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=45,CASA EN VENTA  EN JURIQUILLA,"$4,300,000"
1618363103-1974,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=23,Casa en venta en el  Refugio AQC,"$5,290,000"
1618363348-2719,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=9,"Venta de Casa Equipada en Condominio, El Mirador","$1,950,000"
1618363662-3857,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=31,VENTA CASA EN REAL JURIQUILLA 3 RECAMARAS 4 BAÑOS,"$3,969,000"
1618363771-4284,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=16,"Casa en Venta en Condesa Juriquilla, con Roof Garden, Queretaro","$3,990,000"
1618363072-1941,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=25,Casa en venta El Refugio 3 habitaciones JGCC,"$2,450,000"
1618362789-1433,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,20-2012 Casa en desarrollo exclusivo en Milenio III de 150 mts2! ATC,"$2,970,000"
1618363720-4088,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=23,Casa con amplios cuartos y excelentes acabados en un ambiente cómodo y agradable,"$3,990,000"
1618363511-3287,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=50,Casa en venta Juriquilla 3 habitaciones JGCC,"$13,500,000"
1618363178-2144,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=18,"KL/ ESTRENA CASA EN REFUGIO, DENTRO DE  PRIVADA, 3 RECAMARAS.","$3,100,000"
1618362190-120,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=17,Casa en Venta en Cumbres del Lago,"$4,950,000"
1618362412-761,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Gran Casa con Jacuzzi en Jurica en venta con 3 recamaras,"$11,350,000"
1618363266-2367,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=10,CASA EN VENTA CON ROOF TOP,"$3,195,000"
1618362789-1422,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,"CASA COMO NUEVA EN MILENIO III, 4 RECAMARAS, 2.5 BAÑOS, ESTUDIO, COCINA EQUIPADA","$3,200,000"
1618362343-634,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=3,"CASA EN VENTA, CENTRO SUR, QUERÉTARO,QRO.","$11,000,000"
1618362395-721,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/,VENDO CASA QUERETARO FRACC.CANDILES ESQUINA MODERNA FACT USO SUELO CON ROOF GARD,"$2,995,000"
1618363606-3621,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=38,"Casa en condominio en Venta, en Juriquilla, Querétaro","$4,600,000"
1618363378-2830,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=5,El Mirador casa de 3 recamaras y 150 mts2! RAHQRO,"$2,350,000"
1618362557-1008,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa de Un Nivel en Venta en Jurica,"$7,300,000"
1618362520-936,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,VENTA CASA JURICA QUERETARO,"$13,500,000"
1618363563-3484,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=43,Magnífica Residencia con Vista al Náutico,"$43,000,000"
1618363103-1979,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=23,Casa en venta El Refugio 3 habitaciones JRH,"$2,775,000"
1618362360-664,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=2,"Preciosa Residencia en Centro Sur, 3 Recámaras, 3.5 Baños, Despacho, Cto Serv,.","$6,100,000"
1618362478-882,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 3 habitaciones JGCC,"$13,500,000"
1618362618-1131,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,PRE-VENTA DE CASA EN JURICA,"$7,500,000"
1618363742-4176,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=20,CASA EN BIOGRAND JURIQUILLA,"$2,300,000"
1618363370-2797,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=6,Amplia casa de 3 recamaras y roof garden en El Mirador,"$2,980,000"
1618362175-66,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=19,"AMPLIA Casa en Venta en Cumbres del Lago, Juriquilla, Queretaro.","$5,250,000"
